,signal_n,preference_n,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_percent_return,final_cash,final_equity
55,20,15,2.078771495213045,1.840024706609018,0.11917497231321383,0.16760302802030508,0.712337000486388,0.11016653428843459,0.009008438024779242,5.20859356138479e-05,6351.797068141746,0.21988997825279477,0.8762103365034797,2232,2516,0.8871224165341812,8.527329749103943,7.625400641025641,793,1439,0.35528673835125446,0.05809532105772175,-0.02411684085043705,0.005092050006717934,30787.71495213045,30787.71495213045
56,20,20,2.3671901286322754,1.840024706609018,0.12925443583591534,0.16744092209669417,0.7725927427907404,0.11016653428843459,0.019087901547480746,8.639127032292486e-05,9711.065525575468,0.29603085282666997,0.8630578580225947,2371,2516,0.9423688394276629,8.036693378321383,7.640336808340016,861,1510,0.3631379164909321,0.0546341921492498,-0.022902556675757045,0.0052539767440366696,33671.901286322754,33671.901286322754
57,20,25,2.2902140833727973,1.840024706609018,0.12664272841813973,0.17112136687574842,0.7409505959571373,0.11016653428843459,0.016476194129705135,6.75377809492612e-05,10041.889916621363,0.2939540350306944,0.8428776961748472,2217,2516,0.8811605723370429,8.592692828146143,7.650602409638554,837,1380,0.37753721244925575,0.055026344214446556,-0.024614488323164197,0.005452889590223354,32902.14083372797,32902.14083372797
58,20,30,3.0778228522263795,1.840024706609018,0.15111346773891499,0.1702905610016992,0.8890636541484934,0.11016653428843459,0.040946933450480394,0.00015719703599548365,10850.164841829705,0.2785055315218873,1.0791326638481031,2122,2516,0.8434022257551669,8.911875589066918,7.622329705763805,868,1254,0.40904806786050896,0.053455946949712216,-0.02629910681842893,0.00632454382754021,40778.228522263795,40778.228522263795
59,20,35,2.6672360022778854,1.840024706609018,0.1389469609939038,0.17367528387418305,0.8012463666550086,0.11016653428843459,0.02878042670546921,0.0001024340787063401,12066.363270157788,0.3402110518381557,0.8836029748120016,2041,2516,0.81120826709062,9.269475747182753,7.631706333198871,849,1192,0.41597256246937775,0.053321368441046506,-0.027155285398101067,0.006320794518330232,36672.360022778856,36672.360022778856
60,20,40,2.51566790950391,1.840024706609018,0.13414383772905158,0.17420399090773503,0.7708482571428211,0.11016653428843459,0.023977303440616993,8.512042011690193e-05,11249.81970250202,0.3165756636912269,0.8765901948414658,1927,2516,0.7658982511923689,9.837052413077322,7.66518398706025,828,1099,0.4296834457706279,0.05348936030499137,-0.028789703351767747,0.006564248235049349,35156.6790950391,35156.6790950391
61,20,45,3.2537752222955643,1.840024706609018,0.15599249986415686,0.17263236485773675,0.9049650332074372,0.11016653428843459,0.04582596557572227,0.000166549238475533,10282.503236745342,0.27392947507994525,1.1276987491291965,1897,2516,0.7539745627980922,9.96046389035319,7.655996758508914,828,1069,0.4364786505007907,0.05326952870888625,-0.028617260998932786,0.007124574466578105,42537.75222295564,42537.75222295564
62,20,50,1.7509411902672962,1.840024706609018,0.10662975404007113,0.1706260917279591,0.6259076527695902,0.11016653428843459,-0.003536780248363458,8.574076072786541e-07,7605.572880868502,0.2769745908551853,0.68763219073473,1858,2516,0.7384737678855325,10.125403659849301,7.6320486815415824,801,1057,0.4311087190527449,0.05317465288933349,-0.030545179545216218,0.005547170174952953,27509.411902672964,27509.411902672964
63,20,55,1.8311353192214201,1.840024706609018,0.10981812826758275,0.17115127614354084,0.6425579165449176,0.11016653428843459,-0.0003484060208518436,1.0754020671546857e-05,6399.2685276951925,0.24225608752815708,0.7632680073106695,1778,2516,0.7066772655007949,10.581552305961754,7.651077673851159,781,997,0.4392575928008999,0.05355289717099158,-0.030903970892403848,0.00619434966862642,28311.3531922142,28311.3531922142
64,20,60,2.1893513833168754,1.840024706609018,0.12313606041709035,0.1706251395559389,0.7227505101039293,0.11016653428843459,0.012969526128655762,6.035100106538367e-05,7962.8113460839595,0.2477199157129274,0.8751709961428471,1728,2516,0.6868044515103339,10.828125,7.621588594704685,767,961,0.44386574074074076,0.05413168967125797,-0.03102277954834399,0.006774372009199244,31893.513833168756,31893.513833168756
