,momentum_n,sharpe_n,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_percent_return,final_cash,final_equity
82,50,20,0.1522616595531674,1.840024706609018,0.014291307975309753,0.16256727905270818,0.08799271470083843,0.11016653428843459,-0.09587522631312484,-0.00027325867320472533,6512.43794874179,0.379726440129847,-0.33586800114613347,2127,2516,0.845389507154213,5.522802068641279,4.773262901259651,966,1161,45.41607898448519,0.026245085079428798,-0.01912903014202028,0.0014781138654643517,11522.616595531674,11522.616595531674
83,50,30,0.6301783219917247,1.840024706609018,0.05014602223301745,0.16264210162645767,0.30855741407569537,0.11016653428843459,-0.06002051205541714,-0.00013479426696073868,6449.6627302641555,0.3103194394786656,0.1171626644757282,1620,2516,0.643879173290938,7.370987654320988,4.846185064935065,732,888,45.18518518518518,0.03110235387612139,-0.02017334885806513,0.0029956723773821143,16301.783219917248,16301.783219917248
84,50,40,0.9315766799612819,1.840024706609018,0.06813578234927165,0.16881526661150084,0.4040654813429486,0.11016653428843459,-0.04203075193916295,-8.324261380157296e-05,5853.80410652317,0.3340730200124037,0.2517613479205085,1169,2516,0.46462639109697934,10.375534644995723,4.922483766233766,542,627,46.364414029084685,0.040089088772879256,-0.025145406527465868,0.005100184963369936,19315.76679961282,19315.76679961282
85,50,50,1.412481100011754,1.840024706609018,0.09217836895620435,0.161935450218112,0.5707248009490042,0.11016653428843459,-0.017988165332230244,3.7994569684539304e-06,6428.321201736941,0.28571825114071225,0.5441779317746782,729,2516,0.28974562798092207,16.540466392318244,4.895655704425497,298,431,40.87791495198903,0.05777137016387035,-0.02533468737499029,0.008637336145696223,24124.81100011754,24124.81100011754
86,50,60,0.20140525292227784,1.840024706609018,0.018541626522626586,0.1562725477970827,0.11901460665450478,0.11016653428843459,-0.091624907765808,-0.00024741153998804403,4962.490588636854,0.4155978057891381,-0.35367392871539316,1646,2516,0.6542130365659777,7.130619684082625,4.788657690738474,733,913,44.53219927095991,0.028402663498759004,-0.018970731878754706,0.0021256829521794055,12014.052529222778,12014.052529222778
87,50,70,0.5376927889241763,1.840024706609018,0.04402286241573705,0.15572407642707542,0.2834366649867388,0.11016653428843459,-0.06614367187269754,-0.00014460083890962007,4274.353787770706,0.33154183786811686,0.02750163491500679,1739,2516,0.6911764705882353,6.680276020701553,4.759115116755428,788,951,45.313398504887864,0.028263964062102253,-0.018694086887258366,0.0025842018695536916,15376.927889241762,15376.927889241762
88,50,80,-0.1934295054793691,1.840024706609018,-0.021292949532536465,0.15557921878267192,-0.137267209916845,0.11016653428843459,-0.13145948382097106,-0.0003994098184691491,4346.728682014991,0.4249433582731226,-0.7682507129608478,1737,2516,0.6903815580286169,6.651698330454807,4.760609806345283,765,972,44.04145077720207,0.026862533890020326,-0.019445397249892832,0.0009492874490326512,8065.704945206309,8065.704945206309
89,50,90,0.1095131718482325,1.840024706609018,0.01045927251911749,0.15282000779951407,0.06853392049918135,0.11016653428843459,-0.0997072617693171,-0.0002697007023009285,4359.0925535367105,0.3584719560568368,-0.3399810444829523,1699,2516,0.6752782193958664,6.776339022954679,4.761373035566584,756,943,44.496762801648025,0.027239945081125896,-0.018779032531335015,0.0016979227806252265,11095.131718482326,11095.131718482326
90,55,10,0.14878331990362792,1.840024706609018,0.013984328333096707,0.1543919010453603,0.0906192005772481,0.11016653428843459,-0.09618220595533788,-0.0002518142663477534,3248.183393574287,0.25153560081897086,-0.15102823951408517,2689,2516,1.0687599364069953,4.258460394198587,4.668161434977579,1179,1510,43.84529564894012,0.02509646951810467,-0.01701049440508986,0.0014514284158273422,11487.833199036279,11487.833199036279
91,55,20,0.12229914178023082,1.840024706609018,0.011619155308009832,0.15930252177801243,0.07300148819255348,0.11016653428843459,-0.09854737898042476,-0.0002744014027225746,4478.174868890355,0.3101579406397219,-0.25591322072768463,2156,2516,0.8569157392686805,5.426716141001855,4.758031720211468,926,1230,42.949907235621524,0.028005590195481996,-0.018396158091085024,0.0015333497537021116,11222.991417802308,11222.991417802308
