,bollinger_n,sharpe_n,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_percent_return,final_cash,final_equity
49,30,50,1.4134955627471055,1.840024706609018,0.09222434366526322,0.18038937411527958,0.5125869874761163,0.11016653428843459,-0.017942190623171372,-4.859108468030911e-05,7114.41700925427,0.27705760553350345,0.5566504019020133,1278,2516,0.5079491255961844,9.158059467918623,4.75,516,762,40.375586854460096,0.052961364609462526,-0.027451300749724496,0.005015784794360406,24134.955627471056,24134.955627471056
50,30,60,2.064366369575019,1.840024706609018,0.11864957360013162,0.17992086638485638,0.6608277216099973,0.11016653428843459,0.008483039311697027,6.17203020860932e-05,7250.853113020257,0.2277943697762267,0.8613364130142482,1194,2516,0.47456279809220986,9.73283082077052,4.741330069359445,496,698,41.541038525963145,0.05433200161713746,-0.028174288007259095,0.006099681551954213,30643.66369575019,30643.66369575019
51,30,70,2.510197838183235,1.840024706609018,0.13396703339615712,0.17871310297294032,0.7509215740993368,0.11016653428843459,0.023800499107722528,0.00010662623660970418,6361.332229357489,0.22698118839740922,0.9982205051910782,1098,2516,0.4364069952305246,10.645719489981785,4.7807770961145195,469,629,42.71402550091074,0.05519111043256171,-0.02819433326180664,0.007422946421853429,35101.97838183235,35101.97838183235
52,30,80,2.8863698596544696,1.840024706609018,0.14558451951557405,0.1748474319898087,0.8337377644019395,0.11016653428843459,0.03541798522713946,0.00016132286149721437,8590.954183906812,0.20281070933112866,1.1308123994821884,1042,2516,0.41414944356120825,11.215930902111324,4.79958932238193,453,589,43.47408829174665,0.055851462388606034,-0.028111183425736985,0.008390811347677015,38863.698596544695,38863.698596544695
53,30,90,2.1452039008042187,1.840024706609018,0.12156970039707593,0.17659795065239095,0.6897460786143983,0.11016653428843459,0.011403166108641338,8.47931570506539e-05,11999.549429998544,0.2867952893106718,0.8078919333645906,998,2516,0.39666136724960255,11.553106212424849,4.758563763929014,438,560,43.8877755511022,0.0576352054114521,-0.03115836596020466,0.0078111573471958025,31452.03900804219,31452.03900804219
54,35,10,1.460162519793435,1.840024706609018,0.0943206820485274,0.17058751438614683,0.5541128938451965,0.11016653428843459,-0.0158458522399072,-1.4608440644922941e-05,7630.014323718784,0.2663870130647926,0.5904537575418196,1322,2516,0.5254372019077902,8.847201210287443,4.7390599675850895,487,835,36.83812405446293,0.05319355045704498,-0.023426323102843337,0.00479900096952097,24601.62519793435,24601.62519793435
55,35,20,1.2589356625954062,1.840024706609018,0.08501075251328194,0.17371691477237497,0.48967916021424496,0.11016653428843459,-0.025155781775152652,-5.8996694653335304e-05,8171.128504861004,0.33248547052863864,0.41069963465383097,1393,2516,0.5536565977742448,8.32232591529074,4.708773354995938,491,902,35.24766690595836,0.05603754024683181,-0.023521667810368227,0.004521096838652031,22589.35662595406,22589.35662595406
56,35,30,0.7717141420289015,1.840024706609018,0.058936714033476,0.17858814599529685,0.3310643316381374,0.11016653428843459,-0.05122982025495859,-0.00016236958000152182,6619.913186520709,0.3088416877036312,0.2025611443903692,1480,2516,0.5882352941176471,7.90945945945946,4.743111831442463,515,965,34.7972972972973,0.05322488076256375,-0.022949623974179777,0.00355704490380868,17717.141420289016,17717.141420289016
57,35,40,1.1537562268842039,1.840024706609018,0.07984334513539926,0.17827693126908867,0.448452105510982,0.11016653428843459,-0.030323189153035335,-9.022235757219765e-05,6267.714063564501,0.2650265551400023,0.4592924901741089,1453,2516,0.5775039745627981,8.006882312456986,4.7177615571776155,561,892,38.60977288368892,0.050516327314483446,-0.025196656032182678,0.004035954881430328,21537.56226884204,21537.56226884204
58,35,50,1.630150709378778,1.840024706609018,0.10166580717887452,0.17417354757742703,0.5849199416607919,0.11016653428843459,-0.008500727109560069,2.182321920914446e-06,5318.675585706696,0.22982338903590038,0.7059057229480974,1248,2516,0.4960254372019078,9.333333333333334,4.7272727272727275,525,723,42.06730769230769,0.050899573707658574,-0.02760945274394732,0.005417180979684967,26301.50709378778,26301.50709378778
59,35,60,1.7910563639100063,1.840024706609018,0.10823496625586171,0.17641632356599532,0.6142893510879827,0.11016653428843459,-0.0019315680325728835,3.290074068232942e-05,5967.505105139509,0.2080877612348836,0.7931154462826857,1140,2516,0.45310015898251194,10.228070175438596,4.757241942064463,472,668,41.40350877192983,0.05503412990866879,-0.028271734326101576,0.0062198164798735215,27910.563639100063,27910.563639100063
60,35,70,1.2271839242653666,1.840024706609018,0.08347402943501159,0.1779112061200351,0.47002998425709086,0.11016653428843459,-0.026692504853423005,-5.8664033410226184e-05,6760.804406564748,0.27002623545132454,0.4859912887595126,1064,2516,0.42289348171701113,11.010338345864662,4.791411042944786,440,624,41.35338345864661,0.05631108784215401,-0.030534094951871458,0.005379326504304489,22271.839242653667,22271.839242653667
